;;;;;;;;;;;;;;;;;
;Monday;Segunda;;;;;;;;;;;;;;;
;Tuesday;Terça;;;;;;;;;;;;;;;
;Wednesday;Quarta;;;;;;;;;;;;;;;
;Thursday;Quinta;;;;;;;;;;;;;;;
;Friday;Sexta;;;;;;;;;;;;;;;
;Saturday;Sábado;;;;;;;;;;;;;;;
;Sunday;Domingo;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;January;Janeiro;;;;;;;;;;;;;;;
;February;Fevereiro;;;;;;;;;;;;;;;
;March;Março ;;;;;;;;;;;;;;;
;April;Abril;;;;;;;;;;;;;;;
;May;Maio;;;;;;;;;;;;;;;
;June;Junho;;;;;;;;;;;;;;;
;July;Julho;;;;;;;;;;;;;;;
;August;Agosto;;;;;;;;;;;;;;;
;September;Setembro;;;;;;;;;;;;;;;
;October;Outubro;;;;;;;;;;;;;;;
;November;Novembro;;;;;;;;;;;;;;;
;December;Dezembro;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;